name,category,priceType,price,availabilityNote,featured,sortOrder
22pcs Coffee Set (Traditional Design) 22 pieces,Traditional & culture,fixed,36,Available in-store,TRUE,1
Abyssinian Coffee Set 23 pcs,Traditional & culture,fixed,58,Available in-store,TRUE,2
ALMI Digital Mitad (Injera Grill) Large,Traditional & culture,fixed,125,Available in-store,TRUE,3
Ambasha Bread,Traditional & culture,fixed,12.99,Available in-store,TRUE,4
Black Pepper Seeds,Traditional & culture,fixed,3.99,Available in-store,TRUE,5
Black Skimmer Ladle,Traditional & culture,fixed,15,Available in-store,TRUE,6
Black Skimmer Ladle Standard,Traditional & culture,fixed,25,Available in-store,TRUE,7
Electric Hot Plate JX-1010B 1000W,Traditional & culture,fixed,20,Available in-store,TRUE,8
Ethiopian Gesho Powder,Traditional & culture,fixed,9,Available in-store,TRUE,9
Floral Cup & Saucer Set 12 pcs,Traditional & culture,fixed,25,Available in-store,TRUE,10
"Gold Trim Casserole Dish Set 13 x 2.0L, 3 pcs + stand",Traditional & culture,fixed,125,Available in-store,TRUE,11
Green Leaf Teacup Set 12 pcs,Traditional & culture,fixed,25,Available in-store,TRUE,12
Handwoven Basket Tray (Purple Zigza,Traditional & culture,fixed,12,Available in-store,TRUE,13
Handwoven Basket Tray (Small Size),Traditional & culture,fixed,7,Available in-store,TRUE,14
Hop,Traditional & culture,fixed,1,Available in-store,TRUE,15
Jebena Big,Traditional & culture,fixed,40,Available in-store,TRUE,16
Kerfit Itan,Traditional & culture,fixed,3.99,Available in-store,TRUE,17
Kitfo Dist,Traditional & culture,fixed,80,Available in-store,TRUE,18
Masoo Dal 64 OZ,Traditional & culture,fixed,9.99,Available in-store,TRUE,19
Mess (Tij) Haney Wine,Traditional & culture,fixed,13,Available in-store,TRUE,20
Metal Scoop Ladle,Traditional & culture,fixed,25,Available in-store,TRUE,21
Nutmeg Whole With Shell,Traditional & culture,fixed,3.99,Available in-store,TRUE,22
Plastic Coffee Tray with Cultural Border Medium,Traditional & culture,fixed,1,Available in-store,TRUE,23
Rokobot Home Made,Traditional & culture,fixed,200,Available in-store,TRUE,24
Shiro Dishes,Traditional & culture,fixed,15,Available in-store,TRUE,25
Tibes,Traditional & culture,fixed,20,Available in-store,TRUE,26
Tihlo One,Traditional & culture,fixed,55,Available in-store,TRUE,27
Tihlo Two,Traditional & culture,fixed,105,Available in-store,TRUE,28
Traditional Clay Pot Big,Traditional & culture,fixed,85,Available in-store,TRUE,29
Traditional Clay Pot with Lid,Traditional & culture,fixed,30,Available in-store,TRUE,30
Traditional Clay Pot with Lid Small,Traditional & culture,fixed,30,Available in-store,TRUE,31
Traditional Coffee Serving Tray (Illustrat Large,Traditional & culture,fixed,29,Available in-store,TRUE,32
Traditional Jebena (Ethiopian Coffe,Traditional & culture,fixed,24,Available in-store,TRUE,33
Yeshekla Dist,Traditional & culture,fixed,85,Available in-store,TRUE,34
